k,l,filename,classifier,accuracy,precision,recall,f1_score,roc_auc
580,2,cvd_k580_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
580,2,cvd_k580_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
580,2,cvd_k580_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,lr,0.5879685093274003,0.6577845451084887,0.30616583982990786,0.41784548422198037,0.6003162864672077
590,2,cvd_k590_l2.csv,lr,0.5879685093274003,0.6577845451084887,0.30616583982990786,0.41784548422198037,0.6003162864672077
590,2,cvd_k590_l2.csv,lr,0.5879685093274003,0.6577845451084887,0.30616583982990786,0.41784548422198037,0.6003162864672077
590,2,cvd_k590_l2.csv,lr,0.5879685093274003,0.6577845451084887,0.30616583982990786,0.41784548422198037,0.6003162864672077
590,2,cvd_k590_l2.csv,lr,0.5879685093274003,0.6577845451084887,0.30616583982990786,0.41784548422198037,0.6003162864672077
590,2,cvd_k590_l2.csv,lr,0.5879685093274003,0.6577845451084887,0.30616583982990786,0.41784548422198037,0.6003162864672077
590,2,cvd_k590_l2.csv,lr,0.5879685093274003,0.6577845451084887,0.30616583982990786,0.41784548422198037,0.6003162864672077
590,2,cvd_k590_l2.csv,lr,0.5879685093274003,0.6577845451084887,0.30616583982990786,0.41784548422198037,0.6003162864672077
590,2,cvd_k590_l2.csv,lr,0.5879685093274003,0.6577845451084887,0.30616583982990786,0.41784548422198037,0.6003162864672077
590,2,cvd_k590_l2.csv,lr,0.5879685093274003,0.6577845451084887,0.30616583982990786,0.41784548422198037,0.6003162864672077
590,2,cvd_k590_l2.csv,rf,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,rf,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,rf,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,rf,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,rf,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,rf,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,rf,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,rf,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,rf,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,rf,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
590,2,cvd_k590_l2.csv,gb,0.5883963717268527,0.6339974293059126,0.34957476966690293,0.45066240292370946,0.6020625671093746
600,2,cvd_k600_l2.csv,lr,0.5919048434023618,0.6779596497906357,0.3122370266479663,0.42755971672068177,0.6059902768145484
600,2,cvd_k600_l2.csv,lr,0.5919048434023618,0.6779596497906357,0.3122370266479663,0.42755971672068177,0.6059902768145484
600,2,cvd_k600_l2.csv,lr,0.5919048434023618,0.6779596497906357,0.3122370266479663,0.42755971672068177,0.6059902768145484
600,2,cvd_k600_l2.csv,lr,0.5919048434023618,0.6779596497906357,0.3122370266479663,0.42755971672068177,0.6059902768145484
600,2,cvd_k600_l2.csv,lr,0.5919048434023618,0.6779596497906357,0.3122370266479663,0.42755971672068177,0.6059902768145484
600,2,cvd_k600_l2.csv,lr,0.5919048434023618,0.6779596497906357,0.3122370266479663,0.42755971672068177,0.6059902768145484
600,2,cvd_k600_l2.csv,lr,0.5919048434023618,0.6779596497906357,0.3122370266479663,0.42755971672068177,0.6059902768145484
600,2,cvd_k600_l2.csv,lr,0.5919048434023618,0.6779596497906357,0.3122370266479663,0.42755971672068177,0.6059902768145484
600,2,cvd_k600_l2.csv,lr,0.5919048434023618,0.6779596497906357,0.3122370266479663,0.42755971672068177,0.6059902768145484
600,2,cvd_k600_l2.csv,lr,0.5919048434023618,0.6779596497906357,0.3122370266479663,0.42755971672068177,0.6059902768145484
600,2,cvd_k600_l2.csv,rf,0.5938730104398425,0.6539203084832905,0.35676718092566617,0.46166061705989103,0.6071655827698148
600,2,cvd_k600_l2.csv,rf,0.5937018654800617,0.6472581638940235,0.36833800841514724,0.46949720670391065,0.6071655827698148
600,2,cvd_k600_l2.csv,rf,0.5938730104398425,0.6539203084832905,0.35676718092566617,0.46166061705989103,0.6073540865701358
