84.0;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
84.3;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
84.5;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
84.6;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
84.7;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
84.8;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
84.9;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
85.0;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
85.5;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
86.0;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
86.5;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
87.0;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
88.0;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
88.5;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
89.0;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
89.1;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
89.5;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
89.9;[85, 90[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
90.0;[90, 95[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
90.5;[90, 95[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
90.7;[90, 95[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
91.0;[90, 95[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
92.0;[90, 95[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
92.2;[90, 95[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
93.0;[90, 95[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
94.0;[90, 95[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
94.5;[90, 95[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
94.7;[90, 95[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
95.0;[95, 100[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
96.0;[95, 100[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
96.5;[95, 100[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
97.0;[95, 100[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
98.0;[95, 100[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
99.0;[95, 100[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
99.9;[95, 100[;[90, 100[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
100.0;[100, 105[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
101.0;[100, 105[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
102.0;[100, 105[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
103.0;[100, 105[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
104.0;[100, 105[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
105.0;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
105.5;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
106.0;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
106.4;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
106.5;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
107.0;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
108.0;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
109.0;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
109.5;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
109.7;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
110.0;[110, 115[;[110, 120[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
111.0;[110, 115[;[110, 120[;[100, 120[;[80, 120[;[40, 120[;[40, 160[
